Image_ID,Image_Path,Obstacle_Present,Water_Body,Soil_Type,Vegetation_Density (%),Label
0001,/images/synthetic_image_0001.jpg,No,Yes,Sandy,29,1
0002,/images/synthetic_image_0002.jpg,Yes,Yes,Clay,62,0
0003,/images/synthetic_image_0003.jpg,No,Yes,Loamy,12,1
0004,/images/synthetic_image_0004.jpg,No,Yes,Loamy,75,1
0005,/images/synthetic_image_0005.jpg,Yes,Yes,Clay,44,1
0006,/images/synthetic_image_0006.jpg,Yes,Yes,Loamy,48,0
0007,/images/synthetic_image_0007.jpg,Yes,No,Loamy,65,1
0008,/images/synthetic_image_0008.jpg,Yes,Yes,Loamy,89,1
0009,/images/synthetic_image_0009.jpg,Yes,No,Clay,49,0
0010,/images/synthetic_image_0010.jpg,Yes,Yes,Clay,37,1
0011,/images/synthetic_image_0011.jpg,Yes,No,Sandy,31,0
0012,/images/synthetic_image_0012.jpg,No,Yes,Clay,63,1
0013,/images/synthetic_image_0013.jpg,Yes,Yes,Clay,58,1
0014,/images/synthetic_image_0014.jpg,Yes,Yes,Clay,30,1
0015,/images/synthetic_image_0015.jpg,No,Yes,Clay,65,1
0016,/images/synthetic_image_0016.jpg,No,Yes,Clay,77,1
0017,/images/synthetic_image_0017.jpg,Yes,Yes,Loamy,86,1
0018,/images/synthetic_image_0018.jpg,Yes,Yes,Clay,88,0
0019,/images/synthetic_image_0019.jpg,Yes,Yes,Loamy,12,0
0020,/images/synthetic_image_0020.jpg,Yes,Yes,Clay,45,1
0021,/images/synthetic_image_0021.jpg,Yes,No,Clay,78,1
0022,/images/synthetic_image_0022.jpg,Yes,Yes,Sandy,68,0
0023,/images/synthetic_image_0023.jpg,Yes,No,Loamy,53,1
0024,/images/synthetic_image_0024.jpg,No,No,Loamy,76,1
0025,/images/synthetic_image_0025.jpg,No,Yes,Loamy,26,1
0026,/images/synthetic_image_0026.jpg,Yes,No,Clay,69,1
0027,/images/synthetic_image_0027.jpg,Yes,No,Sandy,27,1
0028,/images/synthetic_image_0028.jpg,No,Yes,Clay,68,0
0029,/images/synthetic_image_0029.jpg,Yes,Yes,Sandy,27,1
0030,/images/synthetic_image_0030.jpg,No,Yes,Loamy,20,1
0031,/images/synthetic_image_0031.jpg,Yes,Yes,Sandy,11,1
0032,/images/synthetic_image_0032.jpg,No,Yes,Sandy,78,0
0033,/images/synthetic_image_0033.jpg,Yes,Yes,Sandy,78,0
0034,/images/synthetic_image_0034.jpg,Yes,No,Clay,13,0
0035,/images/synthetic_image_0035.jpg,No,No,Sandy,22,1
0036,/images/synthetic_image_0036.jpg,Yes,No,Loamy,89,1
0037,/images/synthetic_image_0037.jpg,No,Yes,Sandy,14,1
0038,/images/synthetic_image_0038.jpg,No,Yes,Sandy,14,1
0039,/images/synthetic_image_0039.jpg,No,Yes,Loamy,24,1
0040,/images/synthetic_image_0040.jpg,No,No,Clay,28,0
0041,/images/synthetic_image_0041.jpg,Yes,No,Clay,30,1
0042,/images/synthetic_image_0042.jpg,Yes,No,Loamy,88,1
0043,/images/synthetic_image_0043.jpg,Yes,Yes,Loamy,17,1
0044,/images/synthetic_image_0044.jpg,Yes,Yes,Sandy,83,1
0045,/images/synthetic_image_0045.jpg,Yes,No,Sandy,41,1
0046,/images/synthetic_image_0046.jpg,No,No,Clay,28,1
0047,/images/synthetic_image_0047.jpg,Yes,No,Sandy,73,0
0048,/images/synthetic_image_0048.jpg,Yes,Yes,Loamy,75,0
0049,/images/synthetic_image_0049.jpg,Yes,No,Clay,53,1
0050,/images/synthetic_image_0050.jpg,Yes,No,Loamy,53,1
0051,/images/synthetic_image_0051.jpg,Yes,No,Sandy,19,1
0052,/images/synthetic_image_0052.jpg,Yes,No,Sandy,78,0
0053,/images/synthetic_image_0053.jpg,No,Yes,Clay,47,0
0054,/images/synthetic_image_0054.jpg,Yes,No,Loamy,53,1
0055,/images/synthetic_image_0055.jpg,No,No,Loamy,82,1
0056,/images/synthetic_image_0056.jpg,Yes,No,Loamy,89,1
0057,/images/synthetic_image_0057.jpg,Yes,No,Clay,62,0
0058,/images/synthetic_image_0058.jpg,Yes,No,Clay,79,0
0059,/images/synthetic_image_0059.jpg,No,Yes,Clay,84,1
0060,/images/synthetic_image_0060.jpg,No,Yes,Clay,72,0
0061,/images/synthetic_image_0061.jpg,Yes,Yes,Sandy,88,0
0062,/images/synthetic_image_0062.jpg,No,Yes,Sandy,34,1
0063,/images/synthetic_image_0063.jpg,Yes,No,Loamy,86,1
0064,/images/synthetic_image_0064.jpg,Yes,No,Sandy,95,1
0065,/images/synthetic_image_0065.jpg,No,No,Loamy,58,1
0066,/images/synthetic_image_0066.jpg,No,No,Loamy,51,1
0067,/images/synthetic_image_0067.jpg,No,No,Sandy,29,1
0068,/images/synthetic_image_0068.jpg,No,No,Sandy,42,1
0069,/images/synthetic_image_0069.jpg,Yes,Yes,Clay,45,1
0070,/images/synthetic_image_0070.jpg,Yes,Yes,Clay,26,1
0071,/images/synthetic_image_0071.jpg,Yes,Yes,Loamy,47,1
0072,/images/synthetic_image_0072.jpg,Yes,No,Loamy,94,0
0073,/images/synthetic_image_0073.jpg,No,Yes,Clay,42,0
0074,/images/synthetic_image_0074.jpg,No,Yes,Clay,68,1
0075,/images/synthetic_image_0075.jpg,No,Yes,Loamy,86,1
0076,/images/synthetic_image_0076.jpg,No,No,Sandy,64,1
0077,/images/synthetic_image_0077.jpg,No,No,Clay,17,1
0078,/images/synthetic_image_0078.jpg,No,No,Sandy,12,1
0079,/images/synthetic_image_0079.jpg,Yes,No,Sandy,61,1
0080,/images/synthetic_image_0080.jpg,No,Yes,Sandy,95,0
0081,/images/synthetic_image_0081.jpg,Yes,No,Clay,46,1
0082,/images/synthetic_image_0082.jpg,Yes,No,Loamy,77,1
0083,/images/synthetic_image_0083.jpg,Yes,No,Clay,79,1
0084,/images/synthetic_image_0084.jpg,Yes,No,Clay,48,1
0085,/images/synthetic_image_0085.jpg,Yes,Yes,Loamy,95,0
0086,/images/synthetic_image_0086.jpg,No,No,Sandy,56,0
0087,/images/synthetic_image_0087.jpg,No,No,Sandy,83,1
0088,/images/synthetic_image_0088.jpg,No,No,Loamy,42,1
0089,/images/synthetic_image_0089.jpg,Yes,Yes,Clay,65,1
0090,/images/synthetic_image_0090.jpg,No,Yes,Loamy,43,0
0091,/images/synthetic_image_0091.jpg,Yes,Yes,Sandy,75,1
0092,/images/synthetic_image_0092.jpg,Yes,Yes,Sandy,58,1
